"No_";"Net Weight"
"R240001";1.039
"R240005";1.039
"R240009";1.039
"R240031";0.34
"R240071";0.75
"R240073";0.787
"R240079";0.75
"R240091";1.039
"R240092";1.039
"R240131";0.34
"R240171";0.75
"R240271";0.75
"R240371";0.75
"R240471";0.75
"R240531";0.341
"R240561";0.75
"R240571";0.75
"R240581";1.039
"R240631";0.34
"R240671";0.75
"R240681";1.039
"R240771";0.75
"R240799";0.787
"R240831";0.27
"R240851";0.54
"R240981";1.039
"R241081";1.039
"R241381";0.789
"R241481";1.075
"R242031";0.256
"R242231";0.256
"R242331";0.256
"R242431";0.256
"R242531";0.256
"R242551";0.533
"R242651";0.533
"R242751";0.533
"R242851";0.532
"R242951";0.515
"R247081";1.039
"R247181";1.039
"R247581";1.039
"R247681";1.039
"R247781";1.039
"R248081";1.022
